category,faqQuestion,faqAnswer,faqQuestionHindi,faqAnswerHindi,lastUpdated
Passenger,What are IndiGo Fare rules ?,"The rules and conditions of the booking depend on the fare type and are mentioned in the fare rules. In certain select cases (for example, certain corporate houses etc.), IndiGo offers special fares and certain special privileges on those fares, at the time of making the booking (“Special Fares”). These Special Fares have terms and conditions attached to them. In the event that the booking is made on the Special Fares, except to the extent specified otherwise in the terms and conditions governing the Special Fares, the conditions of carriage of IndiGo shall apply in its entirety   In the event of a conflict between a provision contained herein and in the terms and conditions attached to the Special Fares, the provision as contained in the latter shall prevail and take precedence. 

Our fares are refundable, subject to the change or cancellation rules. 

To secure the best price, it is recommended that you book well in advance of travel dates. 

All IndiGo fares are quoted in Indian Rupees (Rs or INR). IndiGo fares apply only for carriage from the airport at the point of origin to the airport at the point of destination. Fares do not include ground transport service between airports and between airports and town terminals. 

Fares and schedules are subject to change without notice. IndiGo's schedule is also subject to regulatory authority approvals. Once purchased, your fare will not change; provided, however, that if you request a subsequent change in the booking or routing, revised fares may be applicable. 

Customers traveling with IndiGo are required to agree to terms and conditions that are available on goindigo.in or on request at our Airport Counters.",इंडिगो किराया नियम क्या हैं?,"""बुकिंग के नियम और शर्तें किराया के प्रकार पर निर्भर करती हैं और किराया नियमों में उल्लिखित हैं। कुछ चुनिंदा मामलों में (उदाहरण के लिए, कुछ कॉरपोरेट घराने आदि), इंडिगो बुकिंग करने के समय (""""विशेष किराये"""") पर विशेष किराए और कुछ विशेष विशेषाधिकार प्रदान करता है। इन विशेष किराये में निबंधन और शर्तें जुड़ी होती हैं।  इस मामले में कि बुकिंग विशेष किराये पर की गई है, विशेष सीमा को निर्दिष्ट करने वाले निबंधन और शर्तों को छोड़कर, विशेष रूप से, इंडिगो की कैरिज की शर्तें अपनी संपूर्णता में लागू होंगी।  इसमें निहित प्रावधान के बीच संघर्ष की स्थिति में और विशेष किराये से जुड़े नियमों और शर्तों में, बाद में निहित प्रावधान प्रबल होगा और पूर्वता लेगा।

हमारे किराए वापसी योग्य हैं, परिवर्तन या रद्द नियमों के अधीन हैं।
सर्वोत्तम मूल्य को सुरक्षित करने के लिए, यह अनुशंसा की जाती है कि आप यात्रा की तारीखों से पहले बुकिंग करें।

सभी इंडिगो किराए भारतीय रुपए (रु या INR) में उद्धृत किए जाते हैं। इंडिगो के किराए केवल मूल स्थान पर हवाई अड्डे से गंतव्य के बिंदु तक हवाई अड्डे के लिए लागू होते हैं। किराये में हवाई अड्डों और हवाई अड्डों और शहर के टर्मिनलों के बीच सड़क परिवहन सेवा शामिल नहीं है।

किराये और शेड्यूल बिना सूचना के बदले जा सकते हैं।इंडिगो का कार्यक्रम भी नियामक प्राधिकरण अनुमोदन के अधीन है। एक बार खरीदने के बाद, आपका किराया नहीं बदलेगा; हालाँकि, यदि आप बुकिंग या रूटिंग में बाद में बदलाव का अनुरोध करते हैं, तो संशोधित किराया लागू हो सकता है।

इंडिगो के साथ यात्रा करने वाले ग्राहकों को नियम और शर्तों से सहमत होना आवश्यक है जो goindigo.in पर या हमारे हवाई अड्डे के काउंटरों पर अनुरोध पर उपलब्ध हैं।""",14-10-2024
Passenger,Can I cancel/ refund my entire booking on Manage Booking facility on Jet Airways website ?,"Yes, you can cancel your entire booking and obtain a refund to the same credit card/debit card/banking account used to purchase tickets on www.jetairways.com. 
However, if you have already checked-in using our web or mobile check-in service, kindly call our Contact Centre to cancel the seat reserved during check-in, before requesting for a refund.",क्या मैं जेट एयरवेज की वेबसाइट पर मैनेज बुकिंग सुविधा पर अपनी पूरी बुकिंग रद्द / रिफंड कर सकता हूं?,"""हां, आप अपनी पूरी बुकिंग रद्द कर सकते हैं और www.jetairways.com पर टिकट खरीदने के लिए उपयोग किए जाने वाले उसी क्रेडिट कार्ड / डेबिट कार्ड / बैंकिंग खाते का रिफंड प्राप्त कर सकते हैं।
हालाँकि, यदि आपने हमारी वेब या मोबाइल चेक-इन सेवा का उपयोग पहले ही कर लिया है, तो वापसी के लिए अनुरोध करने से पहले कृपया चेक-इन के दौरान आरक्षित सीट को रद्द करने के लिए हमारे संपर्क केंद्र को कॉल करें।""",14-10-2024
Passenger,Do I earn JPMiles on all Jet Airways flights?,"Yes. With the multi-level JPMiles earning, you earn a percentage of the base JPMiles based on the Flight, Network and Cabin booked. Effective travel on or after 17th August 2016, Base JPMiles will also be dependent upon the Fare Choices selected. For travel on Jet Airways marketed & operated flights and on Jet Airways flights operated under the S2 code, the Base JPMiles will continue to be calculated as a percentage of 500 Miles (for sectors where Ticketed Point Mileage (TPM) is less than or equal to 500 miles) and as a percentage of actual Ticketed Point Mileage (TPM) (only for sectors where the distance flown is 501 miles & above). In case of Jet Airways codeshare flights operated by Airline Partners, Base JPMiles will continue to be calculated as a percentage of the actual Ticketed Point Mileage irrespective of the distance.",क्या मैं सभी जेट एयरवेज की उड़ानों में जेपी माइल्स कमाता हूं?,"हाँ। मल्टी-लेवल जेपी माइल्स की कमाई के साथ, आप बुक की गई फ्लाइट, नेटवर्क और केबिन के आधार पर जेपी माइल्स का एक प्रतिशत कमाते हैं। 17 अगस्त 2016 को या उसके बाद प्रभावी यात्रा, बेस जेपी माइल्स चयनित विकल्पों पर निर्भर होगी। जेट एयरवेज की विपणन और संचालित उड़ानों और एस 2 कोड के तहत संचालित जेट एयरवेज की उड़ानों पर यात्रा के लिए, बेस जेपीमाइल्स की गणना 500 मील के प्रतिशत के रूप में की जाएगी (उन सेक्टरों के लिए जहां टिकट प्वाइंट माइलेज (टीपीएम) से कम या बराबर है) 500 मील) और वास्तविक टिकेट प्वाइंट माइलेज (टीपीएम) के प्रतिशत के रूप में (केवल उन क्षेत्रों के लिए जहां दूरी 501 मील और उससे अधिक है)। एयरलाइन पार्टनर्स द्वारा संचालित जेट एयरवेज कोडशेयर उड़ानों के मामले में, बेस जेपी माइल्स की गणना दूरी के बावजूद वास्तविक टिके हुए प्वाइंट माइलेज के प्रतिशत के रूप में की जाएगी।",14-10-2024
Passenger,Who can use Jet Airways Kiosk Check-in?,"Kiosk check-in service can be availed by following guest :
- Holding a confirmed , valid eTicket .
- Anytime between 45 minutes and 24 hours prior to flight departure for domestic and 60 minutes to 24 hours for international . 
- For guests departing from an airport where Kiosk check-in is available;",जेट एयरवेज कियॉस्क चेक-इन का उपयोग कौन कर सकता है?,"""निम्नलिखित अतिथि द्वारा कियोस्क चेक-इन सेवा का लाभ उठाया जा सकता है:
- एक मान्य, वैध टिकट धारण करना।
- घरेलू और उड़ान के लिए उड़ान प्रस्थान से 45 मिनट से 24 घंटे पहले और अंतरराष्ट्रीय के लिए 60 मिनट से 24 घंटे के बीच कभी भी।
- एक हवाई अड्डे से प्रस्थान करने वाले यात्रियों के लिए जहां कियोस्क चेक-इन उपलब्ध है;""",14-10-2024
Passenger,Can I use Jet Airways Kiosk Check-in for International flights?,Yes. Kiosk Check-in is available for Jet Airways international flights.,क्या मैं अंतर्राष्ट्रीय उड़ानों के लिए जेट एयरवेज कियॉस्क चेक-इन का उपयोग कर सकता हूं?,हाँ। कियॉस्क चेक-इन जेट एयरवेज अंतरराष्ट्रीय उड़ानों के लिए उपलब्ध है।,14-10-2024
Passenger,What services does GoAir provide under GoBusiness ?,"The GoBusiness service is a product offered by GoAir to customers who prefer traveling in Business Class comfort at almost economy prices. GoAir GoBusiness cabin features include:

Privacy and elbow room along with a vacant middle seat
Complimentary in-flight meals
Enhanced baggage allowance of 35 kg
Complimentary food & beverage invitation for lounge/restaurant at select airports
Car transfers between the terminal and the aircraft at select airports
Priority check-in and disembarkation
Personalized on-board service",गो बिजनेस के तहत गो एयर क्या सेवाएं प्रदान करता है?,"""GoBusiness सेवा गोएयर द्वारा ग्राहकों के लिए पेश किया जाने वाला एक उत्पाद है जो लगभग अर्थव्यवस्था की कीमतों पर बिजनेस क्लास आराम में यात्रा करना पसंद करते हैं। गोएयर गो बिजनेस केबिन की विशेषताओं में शामिल हैं:

एक खाली मध्य सीट के साथ गोपनीयता और एलबों रूम 
उड़ान में मानार्थ भोजन 
35 किलोग्राम का बढ़ा हुआ सामान भत्ता
चुनिंदा हवाई अड्डों पर लाउंज / रेस्तरां के लिए मानार्थ भोजन और पेय निमंत्रण
टर्मिनल और विमान के बीच कार ट्रांसफर चुनिंदा हवाई अड्डों पर किया जाता है
प्राथमिकता चेक-इन और वितरण
निजीकृत ऑन-बोर्ड सेवा""",14-10-2024
Passenger,What is Club Vistara ?,"Club Vistara is a rewards program as unique as you. 

Your loyalty to Vistara is cherished and we want to ensure you get the best when you fly with us. Take your Vistara experience to newer heights with our frequent flyer program – the fastest rewarding program in the Indian sky.

Increased baggage allowance, priority boarding, lounge access and many more special benefits await you, including other perks that increase as you reach higher Club Vistara tiers.

You stop at nothing. So why should your frequent flyer program? Elevate your travel experience, join Club Vistara.",क्लब विस्तारा क्या है?,"""क्लब विस्तारा आप ही तरह एक अद्वितीय कार्यक्रम है । 

विस्तारा के प्रति आपकी निष्ठा स्वीकार्य है और हम यह सुनिश्चित करना चाहते हैं कि जब आप हमारे साथ उड़ान भरते हैं तो आपको सर्वश्रेष्ठ मिले। हमारे फ्रीक्वेंट फ्लायर कार्यक्रम के साथ अपने विस्तारा के अनुभव को नई ऊंचाइयों पर ले जाएं - भारतीय आकाश में सबसे तेज़ पुरस्कृत कार्यक्रम।

बढ़ा हुआ सामान भत्ता, प्राथमिकता बोर्डिंग, लाउंज का उपयोग और कई अन्य विशेष लाभ आपका इंतजार करते हैं, जिसमें उच्च क्लब विस्तारा स्तरों तक पहुंचने के साथ-साथ अन्य भत्ते भी शामिल हैं।

आप कहीं नहीं रुके  तो आपका फ्रीक्वेंट फ्लायर कार्यक्रम क्यों रुकना चाहिए? अपने यात्रा के अनुभव को बढ़ाएं, क्लब विस्तारा में शामिल हों।""",14-10-2024
Passenger,Does Vistara provide discounts for Students ?,"At Vistara, we are delighted to offer Vistara Student Discount - an opportunity to get up to 10% off each time you choose to book an Economy Class flight with us via airvistara.com.",क्या विस्तारा छात्रों के लिए छूट प्रदान करता है?,"विस्तारा में, हमें विस्टारा स्टूडेंट डिस्काउंट की पेशकश करते हुए खुशी हो रही है - जब भी आप airvistara.com के माध्यम से हमारे साथ इकोनॉमी क्लास की फ्लाइट बुक करने का विकल्प चुनते हैं तो हर बार 10% तक छूट मिलती है।",14-10-2024
Passenger,Does Rajiv Gandhi International Airport Hyderabad have smoking areas,As per Government Order smoking is banned in public areas. At Rajiv Gandhi International Airport Hyderabad there are specially designed Smoking Lounges at Departures and Arrivals. Please Note Defaulters will attract a fine.,क्या राजीव गांधी अंतरराष्ट्रीय  हवाई अड्डा हैदराबाद में धूम्रपान क्षेत्र है?,सरकारी आदेश के अनुसार सार्वजनिक क्षेत्रों में धूम्रपान पर प्रतिबंध है। राजीव गांधी अंतर्राष्ट्रीय हवाई अड्डे हैदराबाद में प्रस्थान और आगमन पर विशेष रूप से डिज़ाइन किए गए धूम्रपान करने वाले लाउंज हैं। कृपया ध्यान दें कि उल्लंघनकर्ताओं को जुर्माना भरना पड़ेगा।,14-10-2024
License,Whether recency of flying to be considered valid in case documents are submitted prior to the same i.e. ﬂying experience of 15 hours as PIC in the preceding six months?,in all respect for issue of license,"यदि दस्तावेज पहले प्रस्तुत किए जाते हैं, तो उड़ान की पुनरावृत्ति को वैध माना जाएगा अर्थात पूर्ववर्ती छह महीनों में पीआईसी के रूप में 15 घंटे का अनुभव?",लाइसेंस जारी करने के लिए सभी रूपों में,14-10-2024
License,Whether fee will be adjusted in case documents are withdrawn due to some shortfall in papers?,"The requirement for fees for issue, renewal and validation of licences and ratings are specified in Rule 48 (1) of the Aircraft Rules. In case the documents are withdrawn due to some shortfall in the papers, the fee deposited can be adjusted at the time of issue, renewal and validation of licences/ratings subsequently.",यदि कागजात में कुछ कमी के कारण दस्तावेज वापस ले लिए जाते हैं तो क्या फीस को समायोजित किया जाएगा?,"विमान नियमों के नियम 48 (1) में लाइसेंस और रेटिंग जारी करने, नवीनीकरण और सत्यापन के लिए शुल्क की आवश्यकता विनिर्दिष्ट है। यदि कागजात में कुछ कमी के कारण दस्तावेज वापस ले लिए जाते हैं, तो जमा की गई राशि को लाइसेंस / रेटिंग के जारी, नवीनीकरण और सत्यापन के समय समायोजित किया जा सकता है।",14-10-2024
License,How much time is taken by DGCA to process the issue of licence?,"for issue of license, the entire documents are returned for necessary compliance and addition 15 days are required for reexamination of the documents form the date of submission of documents in DGCA.",लाइसेंस जारी करने के लिए डीजीसीए  द्वारा कितना समय लिया जाता है?,"लाइसेंस जारी करने के लिए, पूरे दस्तावेजों को अपेक्षित अनुपालन के लिए वापस कर दिया जाता है और इसके अलावा डीजीसीए में दस्तावेजों को जमा करने की तारीख से दस्तावेजों के पुन: परीक्षण के लिए 15 दिनों की आवश्यकता होती है।",14-10-2024
License,where an I get my license renewed?,You can get renewed near the section of plaza,,,14-10-2024
Special Needs,What in have special medications that I must carry with me?,"If you require special medication, you should always carry your prescription with you when you board any flight. Different countries have different laws governing the possession of prescription drugs, and some countries have limited supplies should you require a refill of your prescription, so it is always better to bring an extra supply with you. For further information concerning any particular medications, consult with your physician and contact the local embassy of the country to which you are travelling.",क्या विशेष दवाएं हैं जो मुझे अपने साथ ले जानी  चाहिए?,"यदि आपको विशेष दवा की आवश्यकता है, तो आपको किसी भी उड़ान में सवार होने पर हमेशा अपने पर्चे को अपने साथ रखना चाहिए। अलग-अलग देशों में प्रिस्क्रिप्शन दवाओं के रखने को नियंत्रित करने वाले अलग-अलग कानून हैं, और यदि आपको अपनी दवाओं को फिर से लेने की जरूरत हो तो कुछ देशों में सीमित आपूर्ति है, इसलिए अपने साथ एक अतिरिक्त आपूर्ति लाना हमेशा बेहतर होता है। किसी भी विशेष दवाओं से संबंधित अधिक जानकारी के लिए, अपने चिकित्सक से परामर्श करें और जिस देश में आप यात्रा कर रहे हैं, वहां के स्थानीय दूतावास से संपर्क करें।",14-10-2024
Special Needs,Does Chhatrapati Shivaji International Airport (CSIA) Mumbai have a prayer room ?,Yes. Prayer rooms are available at Chhatrapati Shivaji International Airport (CSIA)  Mumbai International Terminal (T2) at level 4 & 3,क्या छत्रपति शिवाजी अंतरराष्ट्रीय  हवाई अड्डा (CSIA) मुंबई में एक प्रार्थना कक्ष है?,हाँ। छत्रपति शिवाजी इंटरनेशनल एयरपोर्ट (CSIA) मुंबई इंटरनेशनल टर्मिनल (T2) के स्तर 4 और 3 पर प्रार्थना कक्ष उपलब्ध हैं।,14-10-2024
Special Needs,What is the definition of Unaccompanied Minor Passenger? Is a Parent allowed to accompany a child during check-in?,An unaccompanied minor is a child without the presence of a legal guardian. This term is used in immigration law and in airline policies. The specific definition varies from country to country and from airline to airline. Please check with the airline for further information.,,,14-10-2024
Special Needs,What special services does IndiGo Offer ?,"IndiGo offers special services for Unaccompanied Minors, Infants and Wheelchair Customers. Such Customers are required to mention the requirement of these services at the time of making the booking. IndiGo reserves the right to deny these services to Customers if not requested in advance.
Any customer who require medical assistance or stretchers are required to complete the IndiGo Medical Information Form which can be found in the Information Centre.",इंडिगो क्या विशेष सेवाएं प्रदान करता है?,"""इंडिगो अकेले बच्चों, नवजात शिशुओं और व्हीलचेयर ग्राहकों के लिए विशेष सेवाएं प्रदान करता है। ऐसे ग्राहकों को बुकिंग करते समय इन सेवाओं की आवश्यकता का उल्लेख करना आवश्यक है। इंडिगो अग्रिम में अनुरोध नहीं किए जाने पर ग्राहकों को इन सेवाओं को अस्वीकार करने का अधिकार सुरक्षित रखता है।
कोई भी ग्राहक जिसे चिकित्सा सहायता या स्ट्रेचर की आवश्यकता होती है, उसे इंडिगो मेडिकल इंफॉर्मेशन फॉर्म को पूरा करना होता है जो सूचना केंद्र में पाया जा सकता है।""",14-10-2024
Special Needs,How can I use the special services offered by IndiGo ?,"To ensure availability, these special service requests should be reserved and paid for in advance of travel, via IndiGo Call Centre",मैं इंडिगो द्वारा दी गई विशेष सेवाओं का उपयोग कैसे कर सकता हूं?,"उपलब्धता सुनिश्चित करने के लिए, इन विशेष सेवा अनुरोधों को इंडिगो कॉल सेंटर के माध्यम से यात्रा के लिए आरक्षित और भुगतान किया जाना चाहिए",14-10-2024
Special Needs,Does SpiceJet allow me to bring my pets on board with me for International  travel?,"No. SpiceJet does not permit the carriage of pets on its international flights. Guide dogs for blind Customers are exempt from this rule, but any Customer traveling with a guide dog should make his/her reservation via the SpiceJet Reservations and provide us notice that a guide dog will be traveling. Please note that guide dogs for the blind may not occupy any seat. The Customer is required to bring a moisture absorbent mat, and to place it under the guide dog. Further, the guide dog should be properly trained, restrained and muzzled.",क्या स्पाइस जेट मुझे अंतर्राष्ट्रीय यात्रा के लिए अपने पालतू जानवरों को अपने साथ लाने की अनुमति देता है?,"नहीं। स्पाइस जेट अपनी अंतरराष्ट्रीय उड़ानों में पालतू जानवरों के कैरिज की अनुमति नहीं देता है। नेत्रहीन ग्राहकों के लिए गाइड कुत्तों को इस नियम से छूट दी गई है, लेकिन गाइड डॉग के साथ यात्रा करने वाले किसी भी ग्राहक को स्पाइसजेट रिजर्वेशन के माध्यम से अपना आरक्षण करना चाहिए और हमें नोटिस देना चाहिए कि गाइड डॉग यात्रा कर रहा है। कृपया ध्यान दें कि नेत्रहीन के लिए कुत्तों का मार्गदर्शन का तात्पर्य किसी भी सीट पर कब्जा नहीं हो सकता है। ग्राहक को एक नमी शोषक चटाई लाने के लिए, और इसे गाइड कुत्ते के नीचे रखने के लिए आवश्यक है। इसके अलावा, गाइड डॉग को ठीक से प्रशिक्षित, संयमित और मुंह बंधा हुआ होना चाहिए।",14-10-2024
Baggage,What is the permissible size of hand baggage allowed for air passengers?,115 cm total of all dimensions except at Srinagar airport where carry-on (hand baggage) is not allowed.,हवाई यात्रियों के लिए हैंड बैगेज का अनुमत (परमिसिबल) आकार क्या है?,"श्रीनगर हवाई अड्डे, जहां कैरी-ऑन (हैंड बैगेज) की अनुमति नहीं है को छोड़कर, सभी आयामों में कुल 115 सेमी",14-10-2024
Baggage,Is left luggage facility available at Indira Gandhi International Airport Delhi ?,"The Left Luggage Facility is available in T3 and is located in the Multi Car Parking Facility, across from the terminal.",क्या इंदिरा गांधी अंतरराष्ट्रीय  हवाई अड्डा दिल्ली में सामान रखने की  सुविधा उपलब्ध है?,लेफ्ट लगेज सुविधा T3 में उपलब्ध है और टर्मिनल के सामने मल्टी कार पार्किंग सुविधा में स्थित है।,14-10-2024
Passenger,What are Permitted and Prohibited Items?,"Prohibited items are weapons, explosives, incendiaries, and items that are seemingly harmless but may be used as weapons - the so-called ""dual-use"" items.",अनुमति प्राप्त और निषिद्ध आइटम क्या हैं?,"निषिद्ध वस्तुएं हथियार, विस्फोटक, आग लगाने वाली वस्तुएं हैं, और ऐसे आइटम जो प्रतीत होता है कि हानिरहित हैं, लेकिन हथियार के रूप में इस्तेमाल किया जा सकता है - तथाकथित ""दोहरे उपयोग"" आइटम।",14-10-2024
Passenger,"Is it possible to park my own car at Kempegowda International Airport Bengaluru , in case of a day trip ?","Passengers can utilize the long-term parking facility as well as valet parking service provided at Kempegowda International Airport Bengaluru.

Regular long-term parking:
Long term Parking Fees remains same in P2 Parking area only.
Rs. 500 for day one (24 hours) and Rs. 300 for every additional day, thereafter.",क्या एक दिन की यात्रा के मामले में केम्पेगौड़ा अंतर्राष्ट्रीय हवाई अड्डे बेंगलुरु में अपनी कार पार्क करना संभव है?,"""यात्री लंबी अवधि की पार्किंग सुविधा के साथ-साथ केम्पेगौड़ा इंटरनेशनल एयरपोर्ट बेंगलुरु में प्रदान की गई वैलेट पार्किंग सेवा का उपयोग कर सकते हैं। 

नियमित लंबी अवधि की पार्किंग: 
लंबी अवधि के पार्किंग शुल्क केवल पी 2 पार्किंग क्षेत्र में समान ही रहते हैं। 
एक दिन (24 घंटे) के लिए रु. 500/- और उसके बाद प्रत्येक अतिरिक्त दिन के लिए रु. 300/- ।""",14-10-2024
